title,album,composer,spotify,youtube,artist
Our Love Has Died,Album: ***PLEASURE***      Utgiven:  1989,Kompositör: Ohio Players,https://play.spotify.com/track/0jCgceQd80bFBUseeLRmlI,https://www.youtube.com/results?search_query=Ohio%20Players%20Our%20Love%20Has%20Died,Ohio Players
I'll Be With You,Album: ***All the Woo in the World***,Kompositör: Tyrone Lampkin & J S Teracon & Bernie Worrell,https://play.spotify.com/track/3VFxSZmfyyP0rUshVbHNry,https://www.youtube.com/results?search_query=Bernie%20Worrell%20I'll%20Be%20With%20You,Bernie Worrell
Feed Me Your Love,Album: ***SAFE SOUL***      Utgiven:  1990,Kompositör: Johnny Flippin,,https://www.youtube.com/results?search_query=The%20Fatback%20Band%20Feed%20Me%20Your%20Love,The Fatback Band
I Want To Make Love To You So Bad,Album: ***CHOCOLATE CHIP***      Utgiven:  1998,Kompositör: Isaac Hayes,,https://www.youtube.com/results?search_query=Isaac%20Hayes%20%26%20The%20Movement%20I%20Want%20To%20Make%20Love%20To%20You%20So%20Bad,Isaac Hayes & The Movement
Ramon's Desire,Album: ***RAMON'S DESIRE***      Utgiven:  2010,Kompositör: Okänd,https://play.spotify.com/track/27mOWaXk9PGMzCTpGJ20FW,https://www.youtube.com/results?search_query=Francisco%20Aguabella%20Ramon's%20Desire,Francisco Aguabella
Now,Album: ***STUDIO ONE FUNK***      Utgiven:  2004,Kompositör: Ernest Ranglin,,https://www.youtube.com/results?search_query=Lee%20Arab%20Now,Lee Arab
Bra,Album: ***GOT TO GET YOUR OWN (SOME RARE GROOVES)***      Utgiven:  1991,Kompositör: Patrick Patterson & Steve Scipio,https://play.spotify.com/track/5HrxlXl6yE5PWxFkNyUOz7,https://www.youtube.com/results?search_query=Cymande%20Bra,Cymande
Lagos Sisi,Album: ***AFRO BABY - THE EVOLUTION OF THE AFRO SOUND IN NIGERIA 1970-79***      Utgi,Kompositör: Bola Johnson,https://play.spotify.com/track/6yM82PxMywRHehdoQgQT8p,https://www.youtube.com/results?search_query=Bola%20Johnson%20Lagos%20Sisi,Bola Johnson
"Chicago, We Can Change The World",Album: ***CSN (3)***      Utgiven:  1991,Kompositör: Graham Nash,,"https://www.youtube.com/results?search_query=Graham%20Nash%20Chicago,%20We%20Can%20Change%20The%20World",Graham Nash
The Truth,Album: ***THE TRUTH***      Utgiven:  2000,Kompositör: Dwight Grant & K West,,https://www.youtube.com/results?search_query=Beanie%20Sigel%20The%20Truth,Beanie Sigel
Southside,Album: ***FINDING FOREVER***      Utgiven:  2007,Kompositör: Lonnie Rashid Lynn & Kanye West,https://play.spotify.com/track/0iCRRzd7IYXX53KD63llND,https://www.youtube.com/results?search_query=Common%20%26%20Kanye%20West%20Southside,Common & Kanye West
If There's A Will There's A Way,Album: ***DIFFERENT STROKES FOR DIFFERENT FOLKS***      Utgiven:  1992,Kompositör: Don Covay & Donny Hathaway,,https://www.youtube.com/results?search_query=Don%20Covay%20%26%20The%20Jefferson%20Lemon%20Blues%20Band%20If%20There's%20A%20Will%20There's%20A%20Way,Don Covay & The Jefferson Lemon Blues Band
Spaceship,Album: ***THE COLLEGE DROPOUT***      Utgiven:  2004,Kompositör: Leonard Harris & Dexter Mills & Kanye West,,https://www.youtube.com/results?search_query=Kanye%20West%20%26%20Glc%20%26%20Consequence%20%26%20John%20Legend%20%26%20Tony%20Williams%20Spaceship,Kanye West & Glc & Consequence & John Legend & Tony Williams
Distant Lover,Album: ***MARVIN IS 60: A TRIBUTE ALBUM (2)***      Utgiven:  1999,Kompositör: Gwen Gordy Fuqua & Marvin Gaye & Sandra Greene,,https://www.youtube.com/results?search_query=Marvin%20Gaye%20Distant%20Lover,Marvin Gaye
There Is Nothing I Can Do,Album: ***THERE IS NOTHING I CAN DO***      Utgiven:  2005,Kompositör: Michael J Kirkland,,https://www.youtube.com/results?search_query=Mike%20%26%20The%20Censations%20There%20Is%20Nothing%20I%20Can%20Do,Mike & The Censations
Inside You,Album: ***ANTHOLOGY***      Utgiven:  2000,Kompositör: James Mtume,,https://www.youtube.com/results?search_query=Eddie%20Henderson%20Inside%20You,Eddie Henderson
All I Do Is Think Of You,Album: ***ALL I DO IS THINK OF YOU***      Utgiven:  1975,Kompositör: Brian Holland & Michael L Smith,https://play.spotify.com/track/4mnS3xQNJ2u0aUI2nBMBAu,https://www.youtube.com/results?search_query=Jackson%20Five%20All%20I%20Do%20Is%20Think%20Of%20You,Jackson Five
We're Almost There,Album: ***FOREVER MICHAEL***      Utgiven:  1994,Kompositör: Brian Holland & Eddie Holland,https://play.spotify.com/track/271PfBUXOXoQCcBgvxTqSF,https://www.youtube.com/results?search_query=Michael%20Jackson%20We're%20Almost%20There,Michael Jackson
Your Ways,Album: ***TRIUMPH***      Utgiven:  1980,Kompositör: Jackie Jackson,,https://www.youtube.com/results?search_query=The%20Jacksons%20Your%20Ways,The Jacksons
So Fine,Album: ***CLASSIC 80'S GROOVE***      Utgiven:  1994,Kompositör: Kashif,,https://www.youtube.com/results?search_query=Howard%20(2)%20Johnson%20So%20Fine,Howard (2) Johnson
I Just Gotta Have You,Album: ******      Utgiven:  1983,Kompositör: Kashif,https://play.spotify.com/track/31jkrjcvIXNFWScK2zj0uF,https://www.youtube.com/results?search_query=Kashif%20I%20Just%20Gotta%20Have%20You,Kashif
Stone Love,Album: ******      Utgiven:  1983,Kompositör: Kashif & La La,https://play.spotify.com/track/2wPJBZ7o4a1TurmrgmNEUK,https://www.youtube.com/results?search_query=Kashif%20Stone%20Love,Kashif
I'm In Love,Album: ***I'M IN LOVE***      Utgiven:  1981,Kompositör: Kashif Saleem,,https://www.youtube.com/results?search_query=Evelyn%20King%20I'm%20In%20Love,Evelyn King
I Am In Love,Album: ***I AM IN LOVE***      Utgiven:  2005,Kompositör: Kashif,https://play.spotify.com/track/5ZrIAVptY3txD0DjsRdMKR,https://www.youtube.com/results?search_query=Jennifer%20Lara%20I%20Am%20In%20Love,Jennifer Lara
I Want Your Love,Album: ***STUDIO ONE DISCO MIX***      Utgiven:  2004,Kompositör: Bernard Edwards & Nile Rodgers,,https://www.youtube.com/results?search_query=Norma%20White%20%26%20Disco%20Set%20Brentford%20I%20Want%20Your%20Love,Norma White & Disco Set Brentford
I Want Your Love,Album: C'est Chic,"Kompositör: EDWARDS, BERNARD (C,A) RODGERS, NILE",https://play.spotify.com/track/6HZKlK1mDDBsILMoNNncxL,https://www.youtube.com/results?search_query=Chic%20I%20Want%20Your%20Love,Chic
